setup,task,feature_set,model,n_features,accuracy,precision,recall,f1,roc_auc,pr_auc,fit_seconds
honest,classification,a_rfm,LogisticRegression,4,0.8877846466859691,0.10918331580792148,0.4882445141065831,0.1784588942996276,0.703082599427887,0.16020403100707706,0.14736247062683105
honest,classification,a_rfm,DecisionTree,4,0.8926950465607637,0.11063829787234042,0.46865203761755486,0.17901511749738064,0.693630558225192,0.16211130001398186,0.07124829292297363
honest,classification,a_rfm,RandomForest,4,0.8928711166757962,0.11225997045790251,0.47648902821316613,0.1817095038852361,0.7022230542123511,0.1703030787909846,4.237436294555664
honest,classification,b_rfm_behav,LogisticRegression,13,0.8363526097503717,0.08827970728307585,0.5956112852664577,0.1537683358624178,0.7783067728958372,0.16883764115785235,0.3980846405029297
honest,classification,b_rfm_behav,DecisionTree,13,0.7592338993661476,0.06792009400705053,0.6794670846394985,0.12349547753009045,0.7765985715417864,0.18219021279310857,0.6497828960418701
honest,classification,b_rfm_behav,RandomForest,13,0.819312935284451,0.08455114822546973,0.6347962382445141,0.1492262343404569,0.7972922206861328,0.20257792231124852,10.716013193130493
honest,classification,c_rfm_behav_cluster,LogisticRegression,16,0.7556929337193834,0.06777178103315343,0.6888714733542319,0.12340306050821283,0.7818824470279817,0.18029607166336006,0.5885670185089111
honest,classification,c_rfm_behav_cluster,DecisionTree,16,0.7911808435714844,0.0758259613648673,0.658307210031348,0.1359883438562409,0.7742905668043696,0.1830077056392064,0.6892499923706055
honest,classification,c_rfm_behav_cluster,RandomForest,16,0.8105094295328273,0.081342094782955,0.640282131661442,0.14434628975265018,0.7955134250919558,0.20286091038217538,11.771770000457764
