setup,task,feature_set,model,n_features,fit_seconds,MAE,RMSE,R2
honest,regression,a_rfm,LinearRegression,4,0.03152298927307129,23.56232630061328,196.533497850187,-0.14164436091153498
honest,regression,a_rfm,DecisionTree,4,0.08036160469055176,21.823625802366276,173.42353783479783,0.11105733323996547
honest,regression,a_rfm,RandomForest,4,4.093357801437378,21.500509120099835,168.15259187194417,0.16427229393849696
honest,regression,b_rfm_behav,LinearRegression,13,0.11198544502258301,23.621993985611883,196.6337389668325,-0.1428092400955594
honest,regression,b_rfm_behav,DecisionTree,13,0.5465819835662842,21.7639368335663,174.88295708429868,0.09603285802575656
honest,regression,b_rfm_behav,RandomForest,13,31.622188806533813,21.407237856835366,169.16028772960013,0.15422567185711922
honest,regression,c_rfm_behav_cluster,LinearRegression,16,0.1896073818206787,23.634512679026003,196.62373916208466,-0.14269300797036055
honest,regression,c_rfm_behav_cluster,DecisionTree,16,0.6060941219329834,21.74154132007967,174.88015473730238,0.09606182836513011
honest,regression,c_rfm_behav_cluster,RandomForest,16,36.71847319602966,21.405706926740603,169.16870176539115,0.15414153210365877
