segment,n_users,share,n_train,recency_days,has_purchased,frequency,monetary,n_sessions,n_views,n_carts,n_remove_from_cart,avg_session_duration,cart_to_view_ratio,purchase_to_cart_ratio,days_active,n_categories,days_since_last_event,pred_window_purchase_rate,pred_window_mean_spend
Casual visitors,163717,0.6405779862820207,130792,59.95017515736561,0.001233836437266747,0.001233836437266747,0.052771001178863526,1.3407098835185105,3.295045719137292,0.03330747570502758,0.0,2.387664598334665,0.010673746927880923,0.0,1.1625671127616557,1.2932010725825662,11.224264217779032,0.008759017084358986,3.52420212928407
Engaged browsers,63493,0.24843002304589223,50967,59.99402489378386,0.00015749767690926558,0.00015749767690926558,0.0007251193044902587,4.988864914242515,26.70812530515175,0.22482793378797664,0.0,71.53572630729249,0.011272500018360271,0.0,3.3578032224024694,4.648953427936938,6.301765662706475,0.027971587419085567,9.625230497850158
Recent buyers,28367,0.11099199067208708,22702,10.560846616977344,0.9987661719603765,2.0572496210385305,654.0017248915993,6.473648958296613,33.33034864455177,1.967603200902457,0.0,9.44304569733198,0.1599488757761772,0.5960580684627103,3.5804632142983044,4.148905418267706,7.672004642930817,0.1117143159304826,77.96297000035251
