feature_set,stage1_classifier,stage2_train_buyers,train_positives_n1,train_negatives_n0,test_purchase_rate,mean_p_raw_balanced,mean_p_prior_corrected,brier_raw,brier_prior_corrected,sum_pred_spend_hurdle,sum_actual_spend
a_rfm,LogisticRegression,5103,5103,199358,0.024962829642382032,0.40452223848088414,0.02504449645289314,0.1777648572149503,0.022527771157183896,704686.2949809217,637804.37
b_rfm_behav,RandomForest,5103,5103,199358,0.024962829642382032,0.33488093793899654,0.02009144788271232,0.14254834376908776,0.02207328767944437,552325.1016695646,637804.37
c_rfm_behav_cluster,RandomForest,5103,5103,199358,0.024962829642382032,0.33321664012275165,0.020186807395364666,0.1427377060243171,0.02205771359123583,555510.3383515624,637804.37
