feature_set,model,test_precision_at_0.5,test_recall_at_0.5,test_f1_at_0.5,tuned_threshold_from_validation,val_f1_at_tuned_threshold,test_precision_at_tuned,test_recall_at_tuned,test_f1_at_tuned
a_rfm,LogisticRegression,0.10918331580792148,0.4882445141065831,0.1784588942996276,0.8485026471330916,0.24153612935826174,0.26784140969162995,0.23824451410658307,0.2521775197013687
a_rfm,DecisionTree,0.11063829787234042,0.46865203761755486,0.1790151174973806,0.8781156571579595,0.22815804117974398,0.27960526315789475,0.19984326018808776,0.23308957952468007
a_rfm,RandomForest,0.11225997045790251,0.47648902821316613,0.1817095038852361,0.8189627450977283,0.2393397524071527,0.23053665910808768,0.2390282131661442,0.23470565602154675
b_rfm_behav,LogisticRegression,0.08827970728307585,0.5956112852664577,0.15376833586241778,0.871037931902336,0.25167464114832544,0.22527881040892192,0.23746081504702193,0.23120946203739032
b_rfm_behav,DecisionTree,0.06792009400705053,0.6794670846394985,0.12349547753009044,0.8835595754015401,0.23509561304836896,0.30339805825242716,0.19592476489028213,0.2380952380952381
b_rfm_behav,RandomForest,0.08455114822546973,0.6347962382445141,0.1492262343404569,0.8577780029096848,0.24181360201511332,0.34934497816593885,0.18808777429467086,0.24452368823229748
c_rfm_behav_cluster,LogisticRegression,0.06777178103315343,0.6888714733542319,0.12340306050821284,0.8567267671846457,0.25279533300923673,0.24076923076923076,0.24529780564263323,0.24301242236024842
c_rfm_behav_cluster,DecisionTree,0.0758259613648673,0.658307210031348,0.1359883438562409,0.8835595754015392,0.23323943661971835,0.30339805825242716,0.19592476489028213,0.2380952380952381
c_rfm_behav_cluster,RandomForest,0.081342094782955,0.640282131661442,0.14434628975265018,0.8274705682137493,0.24496461622210128,0.2937062937062937,0.2304075235109718,0.2582345191040843
