setup_note,task,feature_set,model,metric,honest,leaky,inflation_leaky_minus_honest
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,b_rfm_behav,RandomForest,pr_auc,0.20257792231124852,1.0,0.7974220776887515
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,b_rfm_behav,RandomForest,f1,0.1492262343404569,1.0,0.8507737656595431
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,b_rfm_behav,RandomForest,recall,0.6347962382445141,1.0,0.36520376175548586
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,b_rfm_behav,RandomForest,precision,0.08455114822546973,1.0,0.9154488517745303
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,LinearRegression,R2,-0.1428092400955594,-0.04237485955604092,0.10043438053951848
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,LinearRegression,RMSE,196.6337389668325,187.79461291930605,-8.839126047526463
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,LinearRegression,MAE,23.621993985611883,21.071929617675924,-2.55006436793596
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,DecisionTree,R2,0.09603285802575656,0.43693701506022553,0.34090415703446897
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,DecisionTree,RMSE,174.88295708429868,138.02242544206177,-36.86053164223691
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,DecisionTree,MAE,21.7639368335663,6.722754489961753,-15.041182343604548
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,RandomForest,R2,0.15422567185711922,0.536753844640584,0.38252817278346474
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,RandomForest,RMSE,169.16028772960013,125.19214414506651,-43.96814358453362
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,regression,b_rfm_behav,RandomForest,MAE,21.407237856835366,6.278810915146785,-15.12842694168858
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,LogisticRegression,roc_auc,0.7818824470279817,0.9999982546028169,0.21811580757483517
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,LogisticRegression,pr_auc,0.18029607166336006,0.9999314745629004,0.8196354028995404
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,LogisticRegression,f1,0.12340306050821283,0.9091556822230139,0.7857526217148011
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,LogisticRegression,recall,0.6888714733542319,1.0,0.31112852664576807
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,LogisticRegression,precision,0.06777178103315343,0.8334421946440235,0.7656704136108701
LEAKY = features from Oct 1-31 (overlaps target window); deliberately flawed,classification,c_rfm_behav_cluster,DecisionTree,roc_auc,0.7742905668043696,1.0,0.22570943319563042
